target_cycle,candidate_predecessor_cycle,candidate_successor_cycle,distance,weight,successor_peak_ssn,successor_peak_month
24,13,14,0.25715443004344196,0.13117018601872976,108.9076923076923,48
24,20,21,0.3456349125472631,0.10725808945790248,231.7076923076923,42
24,16,17,0.35024923615728676,0.10613822400183591,197.06923076923078,43
24,12,13,0.4065477970084371,0.09338078415155673,147.74615384615385,61
24,14,15,0.42777606553766795,0.08897894651447183,172.16153846153844,48
24,15,16,0.4396369059894042,0.08661050632133944,129.1,56
24,19,20,0.4599491548498471,0.08269994232762842,158.03846153846155,49
24,17,18,0.460929639062142,0.08251570972494383,216.8153846153846,38
24,22,23,0.4973992992382922,0.07594693241450562,180.91538461538462,67
24,18,19,0.5123540237158398,0.07340696597062026,286.89230769230767,47
24,21,22,0.521511687449783,0.07189371309646564,212.76923076923077,39
