cycle,model,obs_months_used,pred_peak_amp,pred_peak_month,pred_length,A_fit,tp_fit,alpha_fit,floor_fit,A_prior,tp_prior,cost
24,M2 early shape analog (36m),36,,,,,,,,,,
24,M3 calibrated early shape (36m),36,136.47327674304813,54.82574002467021,137.13590155517227,,,,,,,
24,M4 parametric Waldmeier curve (36m),36,,,,136.86509226346442,58.79447350311289,4.563600885728081,3.6421405137847205,136.47327674304813,54.82574002467021,2.067574664855519
24,M2 early shape analog (48m),48,,,,,,,,,,
24,M3 calibrated early shape (48m),48,113.68882798860932,57.24615152677737,132.2867958447467,,,,,,,
24,M4 parametric Waldmeier curve (48m),48,,,,90.61688421754032,45.186589957691474,5.291206479396838,2.520456076851333,113.68882798860932,57.24615152677737,5.454914328059386
24,M2 early shape analog (60m),60,,,,,,,,,,
24,M3 calibrated early shape (60m),60,108.09469822331927,58.932167501327456,128.66341012412133,,,,,,,
24,M4 parametric Waldmeier curve (60m),60,,,,94.24906234461012,50.195906149421695,3.94825569076967,1.2953640062771299,108.09469822331927,58.932167501327456,9.056690410941274
25,M2 early shape analog (36m),36,,,,,,,,,,
25,M3 calibrated early shape (36m),36,143.8054311064984,56.01398782821831,134.16840802459282,,,,,,,
25,M4 parametric Waldmeier curve (36m),36,,,,139.77042302310028,56.97620678353597,3.7854041764716175,3.6207277099988517,143.8054311064984,56.01398782821831,0.7326138769240216
25,M2 early shape analog (48m),48,,,,,,,,,,
25,M3 calibrated early shape (48m),48,144.09956734625308,63.34951864141798,150.36927698821046,,,,,,,
25,M4 parametric Waldmeier curve (48m),48,,,,138.10186469212076,57.45670577437422,3.5241504781907422,2.323729954570847,144.09956734625308,63.34951864141798,1.1680743555756217
25,M2 early shape analog (60m),60,,,,,,,,,,
25,M3 calibrated early shape (60m),60,162.0117359635499,57.820923117735255,137.50152082695126,,,,,,,
25,M4 parametric Waldmeier curve (60m),60,,,,148.32525133815025,61.01233921989092,3.398512549575614,1.9958558893578404,162.0117359635499,57.820923117735255,1.7533620660860998
