target_cycle,obs_months_used,candidate_cycle,distance,weight,candidate_peak_ssn,candidate_peak_month
24,48,14,0.14370366063462753,0.14449471610315526,108.9076923076923,48
24,48,12,0.16798994340425125,0.13527282379232675,123.01538461538462,62
24,48,13,0.2719361486026953,0.10200565327565804,147.74615384615385,61
24,48,16,0.2731064058067598,0.10168201138565612,129.1,56
24,48,15,0.32228302096028943,0.08897109541543186,172.16153846153844,48
24,48,17,0.3633492918281521,0.07958266441594167,197.06923076923078,43
24,48,23,0.3731626259167149,0.0774899479371878,180.91538461538462,67
24,48,20,0.37979454694953513,0.07610692612952025,158.03846153846155,49
24,48,22,0.4365395477030944,0.06523841599049036,212.76923076923077,39
24,48,18,0.5325599989721137,0.050264819772154926,216.8153846153846,38
24,48,21,0.5634911153246273,0.04621535613168228,231.7076923076923,42
24,48,19,0.6911600704799552,0.03267556965079461,286.89230769230767,47
