candidate_predecessor_cycle,candidate_successor_cycle,distance,weight,successor_peak_ssn,successor_peak_month,successor_length
13,14,0.29305851408752975,0.11301017374718586,108.9076923076923,48,138
14,15,0.33960720954662743,0.10217018755207273,172.16153846153844,48,120
20,21,0.3641538765255613,0.09687919185800528,231.7076923076923,42,117
23,24,0.36641528478058816,0.09640575452349863,115.33076923076922,65,133
17,18,0.43356861383355383,0.08335364893507677,216.8153846153846,38,121
16,17,0.45543805766875217,0.07949680678016807,197.06923076923078,43,126
15,16,0.46779786066354556,0.07739653028740653,129.1,56,122
22,23,0.4907651348690179,0.07363998859170505,180.91538461538462,67,147
18,19,0.4953165913067877,0.07291748301592878,286.89230769230767,47,126
12,13,0.4977330720218037,0.07253677226610383,147.74615384615385,61,157
19,20,0.5191501856687109,0.06924825752442101,158.03846153846155,49,140
21,22,0.5632040514863059,0.06294520491842728,212.76923076923077,39,125
