target_cycle,obs_months_used,candidate_cycle,distance,weight,candidate_peak_ssn,candidate_peak_month
25,48,13,0.16241502968441301,0.13884481598853327,147.74615384615385,61
25,48,15,0.18947510755365618,0.12894311304975847,172.16153846153844,48
25,48,14,0.28326162490922746,0.09977798230882362,108.9076923076923,48
25,48,24,0.29669909676379075,0.09617869362543806,115.33076923076922,65
25,48,20,0.3412734196249192,0.08514334224930768,158.03846153846155,49
25,48,17,0.35580715285908343,0.08182634154136577,197.06923076923078,43
25,48,23,0.36574712431867806,0.07963248564153962,180.91538461538462,67
25,48,16,0.38351815552275054,0.07585578356799677,129.1,56
25,48,12,0.39547421349434975,0.07341620087278941,123.01538461538462,62
25,48,22,0.5532573341056899,0.04769117295232825,212.76923076923077,39
25,48,21,0.6650946413036201,0.035126979545630495,231.7076923076923,42
25,48,18,0.6799291126748112,0.03373076161012398,216.8153846153846,38
25,48,19,0.8069780474841893,0.023832327046364447,286.89230769230767,47
