target_cycle,obs_months_used,candidate_cycle,distance,weight,candidate_peak_ssn,candidate_peak_month
25,36,12,0.11839209809177466,0.1359790124033267,123.01538461538462,62
25,36,24,0.12835741541052031,0.13247901694996567,115.33076923076922,65
25,36,14,0.16470576740545073,0.12045923560017047,108.9076923076923,48
25,36,17,0.23395518540293558,0.10049482075551311,197.06923076923078,43
25,36,13,0.24121773686904185,0.09860305509590059,147.74615384615385,61
25,36,16,0.28252861399267093,0.08850012102500117,129.1,56
25,36,23,0.3821591917410539,0.06819015604386629,180.91538461538462,67
25,36,20,0.3915487406369321,0.06653516116554054,158.03846153846155,49
25,36,22,0.4617901637623465,0.05536399945649542,212.76923076923077,39
25,36,15,0.5334072579567246,0.045902924771795396,172.16153846153844,48
25,36,18,0.6300071344662291,0.03565022927690002,216.8153846153846,38
25,36,21,0.6623710777298201,0.03275542925253877,231.7076923076923,42
25,36,19,0.8687642288608861,0.019086838202985994,286.89230769230767,47
