target_cycle,obs_months_used,candidate_cycle,distance,weight,candidate_peak_ssn,candidate_peak_month
24,60,12,0.12216556592202335,0.15254519974007957,123.01538461538462,62
24,60,14,0.20030660789834887,0.12458406763044555,108.9076923076923,48
24,60,13,0.2369243239986679,0.113306480842098,147.74615384615385,61
24,60,16,0.25588757253677946,0.10787342180358846,129.1,56
24,60,15,0.338265181311479,0.08713864331959663,172.16153846153844,48
24,60,20,0.3665869257670912,0.08097275435096964,158.03846153846155,49
24,60,23,0.4052498677555388,0.0732536993591436,180.91538461538462,67
24,60,17,0.4082734896592766,0.07268200983875711,197.06923076923078,43
24,60,22,0.497135452643134,0.057733262170671484,212.76923076923077,39
24,60,18,0.5697105337956491,0.047835874010750644,216.8153846153846,38
24,60,21,0.5791848583078467,0.04667580105691331,231.7076923076923,42
24,60,19,0.6859102227767402,0.035398785876986236,286.89230769230767,47
