MAE,RMSE,R,R2,Bias,MAPE,N,cycle,model,obs_months_used,phase
106.45814525055367,106.56367698308709,0.9628770736734198,-105.12855879060645,106.45814525055367,409.4312157454076,22,24,M1 prior successor analog,0,decline
72.41557239219267,74.57170583571602,0.2889554915354386,-18.242467754791303,72.41557239219267,88.67637990297327,45,24,M1 prior successor analog,0,peak
8.906353462471678,10.482583520946088,0.989454332092271,0.9075252328324056,8.853927722752053,77.44504523629978,43,24,M1 prior successor analog,0,rise
77.77515639911061,78.63917319404545,0.9338931504871876,-675.5110431811919,77.77515639911061,1461.6361527011477,23,24,M1 prior successor analog,0,trough
76.05585432364349,80.28509037499687,0.5855283260469709,-5.422411291055507,76.05585432364349,178.7155211561296,70,24,M2 early shape analog (36m),36,decline
6.594708149554791,6.783472674126229,0.9946881658882761,-3.5651722796102527,6.594708149554791,7.0674787334603,4,24,M2 early shape analog (36m),36,peak
78.16525999055075,78.92752690816619,0.9282559340960548,-680.4813935305239,78.16525999055075,1474.3610778452903,23,24,M2 early shape analog (36m),36,trough
44.094353103161644,51.800521601287244,0.4767874921409457,-1.6736009008758939,43.65155750290981,119.91049630800165,70,24,M3 calibrated early shape (36m),36,decline
11.508190238055953,11.515515001704243,0.9972591716451923,-12.155875128188987,-11.508190238055953,12.417756643947966,4,24,M3 calibrated early shape (36m),36,peak
61.32284152189327,62.03714803849944,0.9183132273698195,-420.0179976717124,61.32284152189327,1153.7295459441925,23,24,M3 calibrated early shape (36m),36,trough
36.43383977418644,37.410419778666494,0.9641432173394215,-0.39448380841682784,36.43383977418644,75.75072768184944,70,24,M4 parametric Waldmeier curve (36m),36,decline
6.158865095965233,6.284097211053232,0.9979081576486506,-2.917768780268423,6.158865095965233,6.607591650737755,4,24,M4 parametric Waldmeier curve (36m),36,peak
26.604492689169764,27.058691080606522,0.9348278157346402,-79.09595461824564,26.604492689169764,493.39625498548116,23,24,M4 parametric Waldmeier curve (36m),36,trough
45.96675212305172,52.931877249407684,0.7181473283605406,-1.5987086508926391,45.96675212305172,129.3389421866638,62,24,M2 early shape analog (48m),48,decline
60.921682655590025,61.57585063568381,0.9187754744085227,-413.78004372344753,60.921682655590025,1145.4593119701942,23,24,M2 early shape analog (48m),48,trough
35.05979716651733,42.66673368938365,0.25752107318419876,-0.6885028307562406,28.505364845639566,105.67489991884958,62,24,M3 calibrated early shape (48m),48,decline
54.7101624867232,55.35034307553438,0.9008859940955981,-334.14878326530663,54.7101624867232,1028.043325493266,23,24,M3 calibrated early shape (48m),48,trough
27.110624731406755,31.98468921571508,0.8479822608607714,0.05112879134462178,-26.82635411464695,43.594513926680385,62,24,M4 parametric Waldmeier curve (48m),48,decline
1.5572769337534489,2.3679787738088853,0.9512031176856284,0.3865874980074244,-1.2930664246643817,20.718425835415747,23,24,M4 parametric Waldmeier curve (48m),48,trough
36.97919347471493,43.06490058588172,0.8387905712427953,-0.6121677786926951,34.27794411769448,116.82367827591892,50,24,M2 early shape analog (60m),60,decline
50.05633935974305,50.57806260993892,0.9160385990371426,-278.8474747118732,50.05633935974305,942.6127716048134,23,24,M2 early shape analog (60m),60,trough
41.693019288265965,47.044431313730314,0.2701126383411002,-0.9238879965598501,33.83641688565215,128.50050559016702,50,24,M3 calibrated early shape (60m),60,decline
55.80518544021339,56.44844992564095,0.9140016860041684,-347.57886724795145,55.80518544021339,1047.0686970098757,23,24,M3 calibrated early shape (60m),60,trough
12.787739854780376,16.485880000204077,0.9917122110615212,0.7637414100879244,-10.215209027882686,18.843346664910264,50,24,M4 parametric Waldmeier curve (60m),60,decline
6.768952967808699,6.880969175562947,0.9392745455816656,-4.179600183563583,6.768952967808699,130.3672199231673,23,24,M4 parametric Waldmeier curve (60m),60,trough
11.72543784008715,17.135721886987966,0.5354162241981055,-0.8040827361583351,5.544787497381752,9.160077412696891,33,25,M1 prior successor analog,0,peak
9.193877074980298,11.44290188694958,0.9949929689915243,0.895236165049706,-6.330686956124068,50.68489830039308,38,25,M1 prior successor analog,0,rise
30.60524999846156,33.27536496954242,0.9452413895484935,-4.058020128216563,30.60524999846156,22.37091707867624,23,25,M2 early shape analog (36m),36,decline
63.6958777007778,64.87077951394849,-0.573044283543932,-33.48099689397796,63.6958777007778,48.27842681764554,12,25,M2 early shape analog (36m),36,trough
25.992291295676267,26.891596893213453,0.9138731023243625,-2.3034526266234567,-25.992291295676267,19.305035158181838,23,25,M3 calibrated early shape (36m),36,decline
14.351937050732147,17.547358534454915,-0.9855608150033591,-1.5229292964237104,-5.811037697919736,10.316618239410714,12,25,M3 calibrated early shape (36m),36,trough
5.543639802168129,7.081542426400228,0.8884600786221826,0.7709181820590314,-1.32652367731012,4.001292075968479,23,25,M4 parametric Waldmeier curve (36m),36,decline
7.295762040733269,7.821580419698634,0.9521576489117534,0.49873127382841187,2.6316533088669716,5.4816096707490205,12,25,M4 parametric Waldmeier curve (36m),36,trough
