target_cycle,obs_months_used,candidate_cycle,distance,weight,candidate_peak_ssn,candidate_peak_month
24,36,13,0.16279896831841972,0.1352362135374239,147.74615384615385,61
24,36,14,0.18903553070039908,0.12670175582789547,108.9076923076923,48
24,36,12,0.19113857386819386,0.12604144112506258,123.01538461538462,62
24,36,17,0.2588879974395048,0.10651452728300624,197.06923076923078,43
24,36,16,0.32021886816635914,0.09145979435464421,129.1,56
24,36,23,0.40091472062887423,0.07484382180215889,180.91538461538462,67
24,36,20,0.40404588573630734,0.0742638218213695,158.03846153846155,49
24,36,22,0.4076956117455858,0.07359343691062278,212.76923076923077,39
24,36,15,0.4548283837814319,0.06546072567895644,172.16153846153844,48
24,36,18,0.5738017614483796,0.048708355794568683,216.8153846153846,38
24,36,21,0.6015050839963267,0.04546847662305792,231.7076923076923,42
24,36,19,0.7465842763118093,0.03170762924123341,286.89230769230767,47
