target_cycle,candidate_predecessor_cycle,candidate_successor_cycle,distance,weight,successor_peak_ssn,successor_peak_month
25,12,13,0.18860178541202158,0.14562570693052385,147.74615384615385,61
25,16,17,0.2755656317826951,0.11968485206402467,197.06923076923078,43
25,15,16,0.3595125083948338,0.09903667848103674,129.1,56
25,14,15,0.36813600599520185,0.097128702729703,172.16153846153844,48
25,13,14,0.3711853871945987,0.09646285159273067,108.9076923076923,48
25,23,24,0.3869716708197668,0.09308810840682087,115.33076923076922,65
25,20,21,0.4996090583496589,0.07220094233931623,231.7076923076923,42
25,17,18,0.5019937177775777,0.07181358449925844,216.8153846153846,38
25,22,23,0.6092268205707736,0.05638321896177185,180.91538461538462,67
25,18,19,0.6418471636626762,0.05238314559568107,286.89230769230767,47
25,21,22,0.6793776000705036,0.048130773593336104,212.76923076923077,39
25,19,20,0.6800166807524497,0.04806143480579654,158.03846153846155,49
